,repo,language,sentiment,creation_date,subscribers,stars
0,100-Days-Of-ML-Code,Python,0.29080000000000006,2018-07-05 09:11:43,2265,27046
1,12306,Python,-0.09100392156862747,2017-05-17 12:23:40,568,17567
2,30-seconds-of-code,JavaScript,0.3991729166666667,2017-11-29 17:35:03,1751,51957
3,33-js-concepts,JavaScript,0.3303428571428571,2018-09-04 13:27:04,1021,30308
4,8cc,C,0.13312580645161293,2012-02-28 06:01:01,245,4502
5,ARouter,Java,-0.024736065573770477,2016-12-14 01:27:49,347,11063
6,AVLoadingIndicatorView,Java,0.12318000000000003,2015-10-24 20:18:33,258,9010
7,AdminLTE,JavaScript,0.270272641509434,2013-12-25 02:52:40,2065,32005
8,AiLearning,Python,0.048696875,2017-02-25 08:53:02,1344,21427
9,Android-Bootstrap,Java,0.23804864864864866,2013-11-01 15:36:17,395,7088
10,Android-CleanArchitecture,Java,0.31058941176470584,2014-08-19 14:09:26,868,13926
11,Android-Debug-Database,Java,0.1453478723404256,2016-11-16 14:20:24,180,6650
12,Android-ObservableScrollView,Java,0.06261904761904762,2014-11-08 14:45:20,416,9485
13,Android-PickerView,Java,-0.05445909090909091,2014-12-28 01:46:38,297,10988
14,Android-PullToRefresh,Java,0.11791428571428571,2011-11-29 09:59:56,992,8830
15,Android-SpinKit,Java,0.06217872340425532,2016-03-20 08:40:51,175,6761
16,Android-Universal-Image-Loader,Java,0.10338333333333333,2011-11-27 18:48:23,1397,16630
17,AndroidAsync,Java,0.06459705882352941,2012-08-24 07:27:04,421,6452
18,AndroidAutoSize,Java,-0.13597346938775504,2018-08-17 09:04:19,162,8700
19,AndroidSlidingUpPanel,Java,0.09553658536585366,2013-05-31 18:33:53,368,8718
20,AndroidViewAnimations,Java,0.10785106382978724,2014-06-23 03:53:13,457,10980
21,Apktool,Java,0.07492926829268291,2012-03-19 17:46:53,585,9104
22,AppImageKit,C,0.24214808362369333,2013-04-14 20:53:12,173,5042
23,Arduino,C,0.1353867647058824,2015-03-27 05:22:06,900,10345
24,Atlas,C,-0.1856261904761905,2013-12-18 10:14:57,551,4166
25,Atmosphere,C,0.1631704545454546,2018-01-18 07:36:33,426,3600
26,BGAQRCode-Android,C,0.01064285714285714,2014-12-23 15:40:12,197,6112
27,BaseRecyclerViewAdapterHelper,Java,0.031160273972602747,2016-04-10 07:40:11,539,18765
28,Boostnote,JavaScript,0.27905689655172417,2016-03-06 17:06:07,364,15901
29,BottomBar,Java,0.13928148148148148,2016-03-16 01:31:05,255,8331
30,Box2D,C,0.11236703296703297,2015-03-14 16:52:46,262,3651
31,CS-Notes,Java,-0.04070000000000001,2018-02-13 14:56:24,4227,83188
32,Calligraphy,Java,0.16072371794871793,2013-12-20 02:35:45,223,8449
33,Caramel,Haskell,0.2263,2015-09-27 22:12:46,14,369
34,Carp,Haskell,0.284104128440367,2016-01-11 12:54:09,97,3191
35,Cello,C,0.4379934426229507,2012-07-18 19:08:47,248,4991
36,Chart.js,JavaScript,0.27233870967741935,2013-03-17 23:56:36,1459,46115
37,ChatterBot,Python,0.19175757575757565,2014-09-28 14:49:00,526,9174
38,CheatSheetSeries,Python,0.41522067307692273,2018-12-21 14:26:43,365,10781
39,ChromeAppHeroes,Python,0.0,2019-02-07 06:35:24,350,10813
40,Cinder,C,0.35078780487804884,2010-04-21 19:03:10,294,3978
41,CircleImageView,Java,0.02260810810810813,2014-01-17 16:44:46,410,12518
42,CloudHaskell,Haskell,0.6328875,2011-02-14 15:37:42,29,346
43,CodeMirror,JavaScript,0.20850306122448978,2011-01-14 13:44:03,670,18953
44,CoreNLP,Java,0.14456794871794879,2013-06-27 21:13:49,528,6723
45,Craft,C,0.016229885057471274,2013-04-09 19:47:38,366,7507
46,DOOM,C,-0.8817333333333335,2012-01-31 21:28:06,280,4704
47,Daily-Interview-Question,JavaScript,-0.04921164772727278,2019-01-19 10:49:00,863,15765
48,DanmakuFlameMaster,Java,-0.1843901408450704,2013-08-11 12:18:50,402,8204
49,DeDRM_tools,Python,0.2551536082474227,2015-03-09 17:21:32,372,6630
50,Deep-Learning-Papers-Reading-Roadmap,Python,0.08570909090909092,2016-10-14 11:49:48,2149,24510
51,Detectron,Python,0.2702857142857143,2017-10-05 17:32:00,989,22362
52,EventBus,Java,0.13477500000000003,2012-07-16 16:55:40,1118,21852
53,EverydayWechat,Python,-0.0027730769230769293,2019-03-11 17:38:45,143,6540
54,ExoPlayer,Java,0.20366741573033703,2014-06-13 21:19:18,839,14375
55,FFmpeg,C,0.2802357142857143,2011-04-14 14:12:38,1146,17320
56,FP-Course-ITMO,Haskell,0.2202,2015-09-01 17:20:07,32,476
57,FastPhotoStyle,Python,0.119086,2018-02-14 17:29:52,291,9948
58,FileDownloader,Java,-0.05560000000000002,2015-12-22 11:17:16,315,9067
59,FizzBuzzEnterpriseEdition,Java,0.25221167883211676,2012-11-24 00:14:41,182,12051
60,FlycoTabLayout,Java,-0.0537560975609756,2015-11-09 01:53:19,226,9322
61,Font-Awesome,JavaScript,0.542796875,2012-02-17 14:19:43,1411,61431
62,Fragmentation,Java,-0.004796969696969701,2016-02-23 08:54:55,308,9211
63,FreeRDP,C,0.13411070110701095,2011-06-30 19:14:15,326,3611
64,Front-End-Checklist,JavaScript,0.27085,2017-10-16 10:12:36,1087,36761
65,Functional-Programming,Haskell,-0.44826666666666665,2015-02-10 15:07:42,106,2533
66,GSYVideoPlayer,Java,-0.1069140625,2016-11-13 12:34:31,361,12307
67,Ghost,JavaScript,0.11881200000000007,2013-05-04 11:09:13,1147,31768
68,GloVe,C,0.17839047619047615,2015-09-01 17:21:18,225,4227
69,HLearn,Haskell,0.2950595505617978,2012-07-18 00:08:33,146,1526
70,HaLVM,Haskell,0.23417419354838714,2012-03-29 22:39:16,88,973
71,HanLP,Java,-0.15744216867469876,2014-10-09 06:36:16,1026,16497
72,HandBrake,C,0.1179518518518519,2015-08-22 16:32:28,237,5179
73,HarmonyOS,C,0.008875000000000008,2019-08-09 11:24:00,754,13262
74,Haskell-Morte-Library,Haskell,0.3311433962264151,2014-08-27 04:23:55,24,343
75,Haskell-Pipes-Library,Haskell,0.21498333333333336,2012-01-08 23:53:01,33,412
76,Haskell-Turtle-Library,Haskell,0.3010620915032679,2015-01-18 02:53:20,28,722
77,HaskellR,Haskell,0.17100857142857143,2013-11-28 10:13:50,46,426
78,Haxl,Haskell,0.39748571428571433,2014-04-02 20:10:58,227,3661
79,HelloGitHub,Python,-0.07799999999999999,2016-05-04 06:24:11,1151,16856
80,How-to-Make-a-Computer-Operating-System,C,0.17515135135135138,2013-11-29 17:36:32,1683,18416
81,IHaskell,Haskell,0.19166350364963522,2013-08-26 07:16:09,48,2024
82,Idris-dev,Haskell,0.25481886792452835,2011-09-14 16:55:49,138,3043
83,ImplicitCAD,Haskell,0.25400000000000006,2011-10-21 22:02:27,52,775
84,InstaPy,Python,0.03132300000000001,2016-09-26 20:36:26,404,9028
85,ItChat,Python,-0.2145947368421053,2016-01-19 07:49:48,910,19102
86,JCSprout,Java,0.022893617021276635,2017-12-17 09:06:50,1607,22999
87,Java,Java,0.21925,2016-07-16 10:21:02,1238,19569
88,JavaGuide,Java,0.038595714285714275,2018-05-07 13:27:00,3310,61443
89,JiaoZiVideoPlayer,Java,-0.1402921052631579,2016-02-06 11:04:24,319,9906
90,LambdaHack,Haskell,0.20660363636363635,2010-10-02 12:59:47,20,356
91,LambdaNet,Haskell,-0.08854000000000002,2014-11-14 20:05:28,44,376
92,Learn-Algorithms,C,0.16786,2014-05-05 11:35:04,314,4143
93,LiteOS,C,0.11159999999999998,2016-09-11 14:25:51,342,3606
94,LitePal,Java,-0.06946,2013-02-20 03:20:07,297,6774
95,LtuPatternFactory,Haskell,0.0,2018-10-05 19:32:13,35,478
96,Luban,Java,-0.06996612903225806,2016-07-24 07:43:21,330,10986
97,MBE,C,-0.03475000000000002,2015-06-20 20:12:04,310,3453
98,ML-From-Scratch,Python,0.44748181818181826,2017-02-05 12:11:23,742,13751
99,MLAlgorithms,Python,0.08018666666666666,2016-10-05 06:46:45,426,7807
100,MPAndroidChart,Java,0.2774111111111111,2014-04-25 14:29:47,1120,29138
101,MVPArms,Java,-0.11157619047619047,2016-08-06 08:49:56,320,8998
102,MagicIndicator,Java,-0.07880303030303028,2016-06-26 08:20:43,144,7125
103,Marlin,C,0.10817241379310341,2011-08-13 08:07:20,749,6216
104,Mask_RCNN,Python,0.17732142857142857,2017-10-19 20:28:34,558,14792
105,Material-Animations,Java,0.17461999999999997,2015-03-08 20:54:00,531,13083
106,MaterialDesignLibrary,Java,-0.01669577464788732,2014-09-30 07:37:17,539,9095
107,Matisse,Java,-0.1432263157894737,2017-04-13 01:31:05,222,10421
108,Mock,JavaScript,0.03564285714285715,2013-04-26 08:06:57,409,13309
109,Motrix,JavaScript,-0.002206249999999998,2018-12-18 11:45:05,250,14493
110,Mybatis-PageHelper,Java,-0.024920481927710843,2014-06-09 15:32:30,506,8348
111,NLP-progress,Python,0.44135789473684217,2018-06-22 17:43:55,1059,12758
112,NativeBase,JavaScript,0.06307692307692309,2016-04-15 11:37:23,265,12983
113,NeteaseCloudMusicApi,JavaScript,-0.044933898305084735,2016-06-22 11:58:03,261,12682
114,NewPipe,Java,0.16449923076923065,2015-09-03 23:39:26,297,6934
115,OpenRefine,Java,0.33257169811320747,2012-10-15 02:22:48,516,6664
116,PayloadsAllTheThings,Python,0.0,2016-10-18 07:29:07,691,10707
117,PermissionsDispatcher,Java,0.20290769230769234,2015-08-15 21:41:05,276,9553
118,PhotoSwipe,JavaScript,0.3181366666666667,2011-04-07 05:46:29,608,19355
119,PhotoView,Java,0.1732545454545455,2012-07-17 16:39:00,661,16110
120,Pillow,Python,0.16313749999999996,2012-07-24 21:38:39,216,6801
121,PocketHub,Java,0.2869306930693069,2011-09-08 16:52:50,973,9438
122,Provenance,C,0.0933653846153846,2013-08-27 20:34:36,234,4030
123,PySnooper,Python,0.33046309523809525,2019-04-18 13:55:43,207,12879
124,Python,Python,0.1380566666666666,2016-07-16 09:44:01,3142,61458
125,QMUI_Android,Java,-0.10500551724137931,2017-04-21 10:03:18,264,9388
126,Quake-III-Arena,C,0.0,2012-01-31 19:39:13,298,4512
127,RetroArch,C,0.29778488372093015,2010-05-27 14:47:40,247,3769
128,RocAlphaGo,Python,0.29876410256410246,2016-02-01 00:40:29,957,8980
129,Rome,Haskell,0.14569805825242724,2016-08-08 13:47:49,11,527
130,RxAndroid,Java,0.2998,2014-08-19 03:46:38,1050,18618
131,RxJS,JavaScript,0.12403800000000004,2012-01-07 00:31:41,596,19738
132,RxPermissions,Java,0.07782395833333335,2015-09-29 13:55:09,220,9177
133,RxTool,Java,-0.2265666666666667,2016-09-24 09:30:45,399,10146
134,SQLAdvisor,C,-0.05511538461538461,2017-03-01 07:01:17,306,3998
135,Semantic-UI,JavaScript,0.12573125000000002,2013-04-08 23:32:04,1429,46818
136,Sentinel,Java,0.05379333333333335,2018-04-04 06:37:33,617,9756
137,Signal-Android,Java,0.20113968253968265,2011-12-15 20:01:12,730,12154
138,SlidingMenu,Java,0.037696969696969694,2012-06-30 05:14:23,1015,11206
139,SmartRefreshLayout,Java,-0.077772,2017-06-02 09:52:50,499,19290
140,SoftEtherVPN,C,0.2015885416666667,2014-01-02 12:40:57,607,6224
141,Son,Haskell,0.28019375,2017-01-31 21:34:31,10,359
142,Spock,Haskell,0.3100448979591837,2013-09-05 19:29:55,20,574
143,SpringAll,Java,0.0837,2018-05-02 02:48:44,500,10449
144,TDengine,C,-0.2648418181818182,2019-07-11 08:33:48,575,10458
145,Telegram,Java,-0.06071395348837208,2013-10-25 14:08:10,1015,12738
146,TencentOS-tiny,C,0.08729999999999999,2019-08-23 08:29:59,203,3424
147,TensorFlow-Course,Python,0.26335,2018-10-02 18:10:12,799,13712
148,Tesseract-OCR-iOS,C,0.13132906976744188,2013-04-30 10:38:14,196,3947
149,TextBlob,Python,0.017174603174603165,2013-06-30 18:29:18,278,6666
150,The-Art-Of-Programming-By-July,C,-0.19128399999999998,2013-12-14 10:00:06,1898,18326
151,Theano,Python,0.004640458015267178,2011-08-10 03:48:06,590,8986
152,Tidal,Haskell,0.25543293413173646,2010-09-09 11:00:10,80,998
153,Tinyhttpd,C,0.019733333333333335,2015-05-20 06:44:01,271,4055
154,TrumpScript,Python,0.0,2016-01-16 05:23:07,147,6980
155,USB-Rubber-Ducky,C,0.06591538461538463,2012-02-04 00:52:41,525,3467
156,UltimateAndroidReference,Java,0.2463,2017-04-10 07:28:27,395,6886
